,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
37,"32079082, 32079103",32078795,0.012728391139471532,0.013269161872959435,0.007827656367237406,0.6149761019649496,46.34626571390155,0.007658761284825416,2.5627781630251274,0.9910376028380258
88,"32078970, 32079082",32079103,0.006272940508459682,0.018899937135402233,0.005434745871553431,0.8663793103448276,45.84032762320557,0.0053161876902894254,7.342426276922152,0.9843599787727486
93,32079103,"32078970, 32079082",0.018899937135402233,0.006272940508459682,0.005434745871553431,0.2875536480686695,45.84032762320557,0.0053161876902894254,1.3948096678405355,0.9970289313109528
52,32078795,"32079082, 32078935",0.013269161872959435,0.009808229178636852,0.005928199165861144,0.4467651553744269,45.550032247158235,0.005798052185202727,1.7898217735933113,0.9911984919636818
49,"32079082, 32078935",32078795,0.009808229178636852,0.013269161872959435,0.005928199165861144,0.6044107512060648,45.55003224715823,0.005798052185202727,2.4943317876695748,0.9877340405629651
113,34129942,"31618300, 31618405",0.015614754929463218,0.00915254466428277,0.006455450631011849,0.4134199134199134,45.1699421946837,0.006312535889098108,1.6891938168453926,0.9933726546667296
108,"31618300, 31618405",34129942,0.00915254466428277,0.015614754929463218,0.006455450631011849,0.7053175775480058,45.16994219468369,0.006312535889098108,3.340495292795756,0.9868939752983077
82,"32078970, 32079103",32078935,0.007469395756301669,0.01733846164245591,0.005813285384994964,0.7782805429864253,44.88751995625061,0.005683777553182005,4.432004081163617,0.9850800456018712
87,32078935,"32078970, 32079103",0.01733846164245591,0.007469395756301669,0.005813285384994964,0.33528265107212474,44.8875199562506,0.005683777553182005,1.4931618767654464,0.9949734010388104
23,"32079082, 32078935",32079103,0.009808229178636852,0.018899937135402233,0.00830759039320792,0.8470020675396278,44.81507327096206,0.008122215478322065,6.41250536584023,0.9873704346089963
26,32079103,"32079082, 32078935",0.018899937135402233,0.009808229178636852,0.00830759039320792,0.43955650929899853,44.81507327096206,0.008122215478322065,1.7668003772919791,0.9965202491655248
42,"32078795, 32078935",32079103,0.007645146244685238,0.018899937135402233,0.006266180874291084,0.8196286472148542,43.36673933584545,0.006121688090875576,5.439334172058139,0.9844672494933873
47,32079103,"32078795, 32078935",0.018899937135402233,0.007645146244685238,0.006266180874291084,0.3315450643776824,43.366739335845445,0.006121688090875576,1.4845501182984804,0.995760667413937
50,"32078795, 32078935",32079082,0.007645146244685238,0.01801442505931579,0.005928199165861144,0.7754199823165341,43.044392466777154,0.005790476251768752,4.3725420679445435,0.9842932359277863
51,32079082,"32078795, 32078935",0.01801442505931579,0.007645146244685238,0.005928199165861144,0.32908067542213887,43.044392466777154,0.005790476251768752,1.4790971394059922,0.9946868824936298
45,32078795,"32079103, 32078935",0.013269161872959435,0.01105876149982763,0.006266180874291084,0.4722363728986246,42.702464729525566,0.0061194403778354195,1.873833640131118,0.9897148343229512
44,"32079103, 32078935",32078795,0.01105876149982763,0.013269161872959435,0.006266180874291084,0.5666259168704156,42.70246472952556,0.0061194403778354195,2.276857053844624,0.9875027048718634
132,"32079103, 32842551",32079082,0.009166063932619966,0.01801442505931579,0.006982702096162556,0.7617994100294986,42.28829993303337,0.006817580724359476,4.122515292939839,0.9853848982843031
133,32079082,"32079103, 32842551",0.01801442505931579,0.009166063932619966,0.006982702096162556,0.3876172607879925,42.28829993303337,0.006817580724359476,1.617997818394343,0.9942638896374487
84,"32078935, 32079103",32078970,0.01105876149982763,0.012525602114413567,0.005813285384994964,0.5256723716381418,41.967832511080296,0.005674767738569928,2.08184035430518,0.9870881996546464
85,32078970,"32078935, 32079103",0.012525602114413567,0.01105876149982763,0.005813285384994964,0.46411225040474907,41.967832511080296,0.005674767738569928,1.8454260976241885,0.9885544665923334
24,"32078935, 32079103",32079082,0.01105876149982763,0.01801442505931579,0.00830759039320792,0.7512224938875306,41.70116400684414,0.008108373162920427,3.947244227525699,0.9869341231136278
25,32079082,"32078935, 32079103",0.01801442505931579,0.01105876149982763,0.00830759039320792,0.46116322701688556,41.70116400684413,0.008108373162920427,1.835326184263899,0.9939248385487007
71,32078795,"32079103, 32842551",0.013269161872959435,0.009166063932619966,0.005062965992280497,0.38155883851248085,41.62733767921894,0.004941340006220668,1.6021474600496433,0.9891018780289037
70,"32079103, 32842551",32078795,0.009166063932619966,0.013269161872959435,0.005062965992280497,0.5523598820058997,41.62733767921894,0.004941340006220668,2.2042949200992865,0.9850059526363661
111,31618300,"31618405, 34129942",0.01655434407889845,0.009409410762689523,0.006455450631011849,0.38995508370763576,41.443092829350945,0.006299684007666596,1.6237994330938241,0.9922973586493955
110,"31618405, 34129942",31618300,0.009409410762689523,0.01655434407889845,0.006455450631011849,0.6860632183908046,41.443092829350945,0.006299684007666596,3.132623233506118,0.9851401147441622
83,"32078970, 32078935",32079103,0.0076045884396736445,0.018899937135402233,0.005813285384994964,0.7644444444444445,40.4469305356859,0.005669559141544526,4.16504743668933,0.98274965166652
86,32079103,"32078970, 32078935",0.018899937135402233,0.0076045884396736445,0.005813285384994964,0.30758226037195996,40.4469305356859,0.005669559141544526,1.4332322162823723,0.9940639919834171
92,32079082,"32078970, 32079103",0.01801442505931579,0.007469395756301669,0.005434745871553431,0.30168855534709194,40.38995458134185,0.005300189001463163,1.4213294252065858,0.9931320718260122
89,"32078970, 32079103",32079082,0.007469395756301669,0.01801442505931579,0.005434745871553431,0.7276018099547511,40.38995458134185,0.005300189001463163,3.6049636555131426,0.9825806522986028
55,"32079082, 32078795, 32079103",32078935,0.007827656367237406,0.01733846164245591,0.005346870627361647,0.6830742659758203,39.396474731253385,0.0052111511076879755,3.100605071983749,0.9823061734003998
66,32078935,"32079082, 32078795, 32079103",0.01733846164245591,0.007827656367237406,0.005346870627361647,0.3083820662768031,39.39647473125338,0.0052111511076879755,1.4345671146663113,0.9918135392340842
46,32078935,"32078795, 32079103",0.01733846164245591,0.009220141005968756,0.006266180874291084,0.36140350877192984,39.19717806245821,0.006106317813121059,1.551495933040104,0.9916822031940018
43,"32078795, 32079103",32078935,0.009220141005968756,0.01733846164245591,0.006266180874291084,0.6796187683284458,39.1971780624582,0.006106317813121059,3.0671632455828157,0.9835564888671068
107,34129942,31618405,0.015614754929463218,0.015391687001899457,0.009409410762689523,0.6025974025974026,39.15083528680366,0.009169073342203859,2.477609153622671,0.9899150415693567
106,31618405,34129942,0.015391687001899457,0.015614754929463218,0.009409410762689523,0.61133069828722,39.15083528680366,0.009169073342203859,2.532706444096737,0.9896907713759486
53,32078935,"32079082, 32078795",0.01733846164245591,0.00892271710255041,0.005928199165861144,0.3419103313840156,38.319082343906906,0.005773492977632088,1.5059912503743829,0.9910872702755963
48,"32079082, 32078795",32078935,0.00892271710255041,0.01733846164245591,0.005928199165861144,0.6643939393939394,38.319082343906906,0.005773492977632088,2.9280208366409894,0.9826714409277505
